Framework Name,Verified URL,Verified Date,Wave
Australia-CPS230,https://www.apra.gov.au/sites/default/files/2023-07/Prudential%20Standard%20CPS%20230%20Operational%20Risk%20Management.pdf,6/3/2026,1
Bahamas-DPA,https://laws.bahamas.gov.bs/cms/images/LEGISLATION/BILLS/2025/2025-0076/2025-0076.pdf,6/3/2026,1
Ireland-DPA,https://www.irishstatutebook.ie/eli/2018/act/7/enacted/en/html,6/3/2026,1
nist-800-161-r1-level-1,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-161r1-upd1.pdf,6/3/2026,2
nist-800-82-r3-high,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-82r3.pdf,6/3/2026,2
Singapore-FEAT,https://www.mas.gov.sg/~/media/MAS/News%20and%20Publications/Monographs%20and%20Information%20Papers/FEAT%20Principles%20Final.pdf,6/3/2026,1
sparta,https://sparta.aerospace.org/,6/3/2026,3
Sweden-DPA-2018,https://www.imy.se/en/organisations/data-protection/,6/3/2026,1
UK-CAF-4_0,https://www.ncsc.gov.uk/sites/default/files/documents/NCSC-Cyber-Assessment-Framework-4.0.pdf,6/3/2026,1
US-CMS-MARS-E 2_0-Vol-I,https://www.yourhealthidaho.org/wp-content/uploads/1-MARS-E-v2-0-Harmonized-Security-and-Privacy-Framework-11102015.pdf,6/3/2026,2
US-TX-RAMP-2022-Level-1,https://dir.texas.gov/tx-ramp,6/3/2026,2
EU-CADA_SWD_2026_502_1_EN_impact_assessment_part2_v6,https://digital-strategy.ec.europa.eu/en/library/proposal-cloud-and-ai-development-act-cada,6/3/2026,3
